,L,PAROLES,Dimension Dialogique,Dimension Epistémique,Domaine,N,Unnamed: 3
1256,L1,ah bah s’ils veulent boire ils ont intérêt à se bouger le cul par exemple tu vois nan mais c’est le principe juste le principe du puits en soit tu vois,Arg+,VA,engagement,,
1257,L3,parce que pour les douches et tout  ouais,0,0,,250,
1258,L1,nan mais je veux dire en fait faut sortir du principe où on se dit ah putain pour prendre une douche ça va être chiant le puits bah oui bien sûr on va pas avoir de puits mais juste sur le principe,Arg+,VA,engagement,,
1259,L3,mais du coup tu vas économiser,Arg+,FAI,économique,,
1260,L1,sur ce principe de se bouger le cul enfin d’avoir un rapport différent avec l’accès à faire la chose,Arg+,VA,engagement,,
1261,L2,ouais genre t’as un forfait eau quoi,P19,0,,254,
1262,L1,ouais ou exactement tu vois ce que je veux dire,[+],O,,255,
1263,L3,oui un forfait ou,[+],O,,256,
1264,L1,ouais voilà et bah justement à partir de cette idée de puits on arrive à une idée de forfait tu vois  et donc ce que je veux dire c’est que c’est là qu’on rebondit sur des choses quitte à aller un peu trop loin dans un premier temps ensuite se se refocaliser sur des choses du coup qui sont nouvelles tu vois tu vois c’est nouveau là c’est le seul truc qu’on a listé qu’ex- enfin ça existe déjà le forfait mais ce que je veux dire c’est que,Préc,0,,257,
1265,L3,ouais ouais,[+],0,,258,
1266,L2,ouais nan mais le forfait bloqué quoi,Préc,0,,259,
1267,L1,ouais voilà exactement  tu vois un forfait avec la 4G c’est pas mal,[+],0,,260,
1268,L3,c’est ce que j’ai mis ((rires)),[+],0,,261,
1269,L4,bah justement utiliser le mouvement des gens pour produire de l’électricité en fait  je sais pas un mouvement genre même quand tu prends ta voiture faudrait que ça produise de l’électricité on peut imaginer que le sol je sais pas il récupère quelque chose ou comme la salle de sport,P11,0,,266,
1270,L1,bah alors imaginons que tu mets une petite dynamo sur l’ouverture de chaque porte et avec le coup que t’opères en ouvrant tu produits une petite masse d’énergie et que si t’essayes de développer ça sur un maximum d’appareils ou sur tes chaussures ou sur la sur tes semelles je sais pas tu vois,P20,0,,271,
1271,L4,faudrait déjà créer un projet sur ça en fait l’énergie dans éventuellement dans ta chaussure pourra être engagé pour ton téléphone ou autre chose,Préc,0,,272,
1272,L1,ou pour ton ipod ouais ouais très bien,Préc,0,,273,
1273,L1,bah en gros si si on peut aussi dire qu’on peut essayer de mettre des systèmes de dynamo sur tous les les tous les matériaux enfin tous les matériels qui ont qu’on utilise,Préc,0,,279,
1274,L3,ouais ((écrit)),[+],0,,280,
1275,L1,où il y a des forces enfin tu sais de l’inertie et tout,Préc,0,,281,
1276,L4,ouais par exemple salle de sport je trouve c’est bien moi,Préc,0,,282,
1277,L3,j’ai mis vélo et après j’ai rajouté portes chaussures etc quoi,Préc,0,,283,
1278,L1,par exemple tu vois,[+],0,,284,
1279,L4,ouais,0,0,,285,
1280,L3,etc quoi,0,0,,286,
1281,L4,après chaussure tu peux pas le  le garder par exemple,Préc,0,,287,
1282,L1,ouais mais tu peux créer de l’énergie par exemple quand tu marches avec le mouvement de tes bras,Préc,0,,288,
1283,L4,ouais,[+],0,,289,
1284,L1,tu vois il suffit que tu mettes un petit système enfin je sais pas tu peux imaginer plein de trucs comme ça tu vois,Préc,0,,290,
1285,L3,juste pour les cuisines vous pensiez faire un truc collectif ou individuel ?,Q,0,,294a,
1286,L3,on peut faire genre le four est allumé de telle re à telle re,P21,0,,294b,
1287,L2,de quoi pardon ah la cuisine individuelle moi je veux pas qu’on salope ma cuisine,Arg-,VA,nuisance,,
1288,L4,nan mais ça dépend en fait nan nan mais ça dépend ça peut-être aussi individuel et collectif,Arg+,VA,liberté,,
1289,L2,oui tu peux avoir une cuisine collective si pour les gens qui ont envie y viennent mais c’est pas forcément un truc ,Arg+,VA,liberté,,
1290,L1,moi je sais que je suis insomniaque et j’aime bien me faire la cuisine à 4h du mat tu vois donc si on me dit ton four tu le fais que fonctionner de 20h à 22h moi je j’aime pas je vais pas être content nan mais le but après c’est pas de créer un ,Arg-,VA,liberté,,
1291,L2,moi je penserais plus à des trucs dans le genre des ressources partageables des trucs de de trucs de consommation bêta genre t’as ,P22,0,,0299a,
1292,L2,genre typiquement quand tu rentres chez toi il est 22h et puis t’as envie de te faire un café t’as pas de café ça t’emmerde,Arg+,FAI,utilité,,
1293,L4,nan mais ça dépend,0,0,,300,
1294,L1,un peu une mise en commun du patrimoine que tu n’en- que tu n’emploies pas tu vois c’est ça plus que dans un rationnement quoi,Arg+,VA,partage,,
1295,L2,oui oui,[+],0,,302,
1296,L1,sortir de cette,0,0,,303,
1297,L2,voilà ou alors t’as déjà prévu à l’avance tu sais que sur le quartier y’a tant de gens qui prennent du lait chaque semaine ils en consomment tant  et t’as je sais pas un énorme réservoir de lait ou un truc comme ça  et tu vas chercher là-bas,Préc,VA,,304,
1298,L1,Hum,[+],0,,305,
1299,L3,ouais d’avoir,[+],0,,306,
1300,L2,qui est toujours disponible  et ça permet de d’économiser les coûts ,Préc,FAI,,307,
1301,L3,dans les lieux collaboratifs du coup il peut y avoir un lieu de stockage avec épicerie machin,P23,0,,308,
1302,L2,ouais voilà,[+],0,,309,
1303,L1,ouais ouais,[+],0,,310,
1304,L3,des trucs collectifs pareil des grands bacs avec des pâtes,Préc,0,,311,
1305,L2,ouais voilà exactement ouais enfin un truc comme ça ouais,[+],0,,312,
1306,L1,oui,[+],0,,313,
1307,L2,puis pareil avec des trucs électroménagers type machine à laver,P24,0,,314,
1308,L4,Hum,0,0,,315,
1309,L2,je sais pas,0,0,,316,
1310,L3,ok,[+],0,,317,
1311,L2,des aspirateurs Dyson sans sacs à disposition,Préc,0,,318,
1312,L4,moi pour la cuisine par exemple je pensais plutôt favoriser le partage et avoir une cuisine commune bon bien sûr t’as une cuisine chez toi,Préc,0,,319,
1313,L2,mais genre un congélo commun,Préc,0,,320,
1314,L4,mais par exemple si tu partages t’as pas être des points en plus j’en sais rien tu vois favoriser ça comme ça tu dépenses moins au final toi t’as pas envie sur le coup mais justement c’est apprendre à l’utilisateur justement à changer ,Arg+,VA,engagement,,
1315,L2,nan moi j’ai pas envie ((rires)) mais pourquoi pas,[-],0,,322,
1316,L3a,ressources partageables du coup ?,Q,0,,326,
1317,L3b,par exemple voitures vélos c’est ça,P25,0,,326,
1318,L2,ouais des trucs comme ça,[+],0,,327,
1319,L1,ouais vas-y mets,[+],0,,328,
1320,L4,moi je pense tout,P26,0,,329,
1321,L1,mais après effectivement c’est intéressant ce que tu dis sur  au niveau des transports par exemple si tu veux prendre un transport individuel il faut que tu justifies par exemple ce que tu emploies tu vois,P27,0,,330,
1322,L3,ouais,[+],0,,331,
1323,L1,c’est-à-dire que c’est parce que,0,0,,332,
1324,L2,moui,0,0,,333,
1325,L1,après bon si t’es vraiment à devoir par exemple pour aller au boulot t’as besoin de ta voiture ,Préc,0,,334,
1326,L2,ouais nan,0,0,,335,
1327,L1,tu tu tu la justifies mais je veux dire,0,0,,336,
1328,L2,je suis dangereux il faut que j’y aille tout seul ((rires)),Préc,0,,337,
1329,L1,voilà,0,0,,338,
1330,L3,tu peux avoir une application comme ça où tu réserves la voiture avec des covoiturages etc,Préc,0,,339,
1331,L1,voilà exactement,[+],0,,340,
1332,L3,par exemple ta priorité elle diminue au fur et à mesure que tu réserves ou si tu réserves tout seul,Préc,0,,341,
1333,L1,voilà par exemple Marc qui a pas envie de prendre le bus pour faire trois stations,Préc,0,,342,
1334,L3,tous les jours et il a une priorité nulle,Préc,0,,343,
1335,L1,il veut prendre sa voiture et bah lui il va pas avoir il va pas être prioritaire sur le véhicule tu vois,Préc,0,,344,
1336,L3,ouais laverie ((lit)) la laverie c’est dans les ressources partageables,P28,0,,345,
1337,L4,dans ressources partageables c’est tout en fait énergétiques matérielles immatérielles,Préc,0,,366,
1338,L1,moi j’ai marqué tu tu tu tu maximises les ressources partageables enfin ce que je veux dire c’est que techniquement tout peut être partageable,Préc,0,,367,
1339,L4,oui c’est ça,[+],0,,368,
1340,L1,ça j’ai pas trop,0,0,,369,
1341,L3,avec un système de points et d’échange et tout ça et tes vêtements et tout ça comme ils montrent,P29,0,,370,
1342,L2,bah c’est pour ça que ouais y’a les ressources non partageables après enfin ce que tu juges non partageable c’est ça ce que je veux dire,Préc,0,,371,
1343,L1,ouais,0,0,,372,
1344,L4,bah oui ressources partageables c’est tout moi je mettrais énergétiques matérielles immatérielles,Préc,0,,373,
1345,L2,moi j’ai mis la salle de bain et les toilettes nan,P30,0,,378,
1346,L3,je mets tout avec un système d’échange ,Préc,0,,379,
1347,L1,nan mais je crois c’est déjà  j’ai rien marqué en  si maximiser toutes les ressources,Préc,0,,380,
1348,L4,ouais ouais et on verra après  parce que là on est obligé de x ça fait déjà dix minutes et tout,0,0,,381,
1349,L2,j’ai mis certains meubles perso équipements et tout ça des trucs un peu que tu veux garder pour toi mais,P31,0,,382,
1350,L1,c’est surtout dans le partageable ,Préc,0,,0384a,
1351,L1,t’es pas dans une notion forcément de consommable,P32,0,,0384b,
1352,L4,c’est-à-dire ?,Q,0,,385,
1353,L1,ce que je veux dire c’est que tu peux partager ton repas et tout mais là c’est peut-être plus une notion de est-ce que tu partages que ton énergie et ce que tu partages aussi derrière les outils que tu peux avoir les véhicules etc quel champ on prend en compte cette ressource partageable,Préc,0,,386,
1354,L4,mais sinon nous dans notre quartier ce serait plus tout en fait au final,Préc,0,,387,
1355,L1,au final genre bah tous les oui c’est en fait t’essayes de rendre public le maximum de choses,Préc,0,,388,
1356,L4,ouais c’est ça,[+],0,,389,
1357,L3,au niveau des consommations d’eau et d’énergie je suis pas sûre que ce soit une bonne idée,P33,0,,390,
1358,L3,parce que ça responsabilise les gens d’avoir leur facture,Arg+,VA,engagement,,
1359,L1,ouais ça c’est sûr bah justement c’est à partir de parce que t’es sur du consommable en soit tu vois,Préc,0,,393,
1360,L3,ouais nous dans notre immeuble c’est hor- enfin c’est collectif et c’est horrible les gens ils chauffent à 28 degrés ((rires)),Préc,0,,394,
1361,L1,ouais nan  mais c’est ça tu vois,[+],0,,395,
1362,L4,ah oui d’accord,[+],0,,396,
1363,L3,c’est,0,0,,397,
1364,L1,donc il faut plus voir pour,0,0,,398,
1365,L3,non partageable je peux mettre énergie eau,Préc,0,,399,
1366,L1,ouais ouais énergie,0,0,,400,
1367,L4,et pourquoi du coup  parce que y’en a qui consommeraient plus que d’autres ?,Q,0,,401,
1368,L2,tu peux mettre les sanitaires aussi,P30,0,,402,
1369,L3,ouais,[+],0,,403,
1370,L1,c’est le principe un peu en gros si quelqu’un a quelque chose que t’as pas enfin si en gros tu payerais toi tu payerais la même facture si quelqu’un consomme plus que toi tu vois,Arg+,VA,équité,,
1371,L2,moi dans les ressources partageables je pensais à certains biens culturels  genre des bou-,P34,0,,405,
1372,L4,nan parce que tu payes moins cher si tu consommes moins,Arg-,VA,équité,,
1373,L2,des biens culturels genre des bouquins que tu mets à disposition,Préc,0,,408,
1374,L1,bien sûr nan mais le principe d’avoir une facture commune  c’est comme si on va au restaurant on fait moitié moitié sur l’addition mais je mange deux fois plus que toi,Arg+,VA,équité,,
1375,L3,ouais mais ça c’est ça du coup c’était dans les lieux collaboratifs  on peut faire un bibliothèque ou un machin comme ça  ,Préc,0,,0410a,
1376,L3,j’ai mis tous les objets,Préc,0,,0410b,
1377,L4,ah mais vous vous voulez une facture commune justement,Q,0,,411,
1378,L2,ouais ((répond à L4)),0,0,,412,
1379,L1,nan nan je pense que c’est une mauvaise idée la facture commune,Préc,0,,413,
1380,L4,d’accord pas de facture commune mais par contre les ressources on pourrait les partager au final,[+],0,,414,
1381,L2,mais après y’a des objets qui seraient non partageable aussi quand même,0,0,,415,
1382,L3,académiques dans les dans les ressources partageables là je mets tout ce qu’on a dit  on a dit ça ou je l’ai dit dans ma tête ((rires)),P35,0,,418,
1383,L2,moi je pensais à la connexion internet aussi si elle serait suffisamment puissante pour,P36,0,,419,
1384,L3,si tu peux faire un échange d’objets tu peux aussi faire un échange en disant bah je propose de faire des cours de ça de garder les enfants de ceci celà,P37,0,,420,
1385,L4,ouais ça existe déjà ((répond à L2)),Préc,0,,421,
1386,L1,complètement ((répond à L3))  et je peux utiliser ta machine à expresso tous les matins parce que j’en ai pas tu vois,Arg+,FAI,utilité,,
1387,L3,ouais je me pointe tous les matins ((rires)),0,0,,423,
1388,L2,tu laisses le voisin acheter une Playstation  après tu vas le voir ((rires)),Arg-,VA,éthique,,
1389,L3,cuisine etc ((écrit)),0,0,,425,
1390,L4,nan mais c’est pour ça que faut une cuisine aussi commune,Arg+,VA,partage,,
1391,L1,bah en fait le truc c’est qu’après t’es obligé d’arriver dans un dans un endroit ,0,0,,0427a,
1392,L1,limite faudrait imaginer que dans les bâtiments t’ais un lieu qui est un lieu commun à tout le monde ,P38,0,,0427b,
1393,L1,et que après c’est individuellement par exemple chaque communauté qui va décider qu’est-ce que je mets en commun,Arg+,VA ,liberté,,
1394,L4,ouais ça c’est les lieux collaboratifs,0,0,,428,
1395,L1,parce qu’effectivement c’est con d’avoir une machine à laver par appartement quand tu peux avoir une laverie avec 5 machines à laver pour tout l’immeuble tu vois,Arg+,VA,écologique,,
1396,L4,oui,[+],0,,430,
1397,L2,moi c’est ce que j’ai mis laverie de quartier,0,0,,431,
1398,L3,et du coup pour les trucs de partageable là enfin je sais pas si y’a une question après mais du coup on fait ,0,0,,0436a,
1399,L3,un système d’échange avec des points avec des y’a une question comme ça,P29,0,,0436b,
1400,L1,moi j’ai dit que fallait une monnaie périssable,P39,0,,442,
1401,L3,moi aussi ((rires)),[+],0,,443,
1402,L1,voilà je pense que,0,0,,444,
1403,L3,ou un système de points d’échange donc avec des points ça se périme et tu peux pas les transformer en euros c’est indépendant,Préc,0,,445,
1404,L2,moi j’ai fait des points temps,P40,0,,446,
1405,L1,ouais c’est ouais quelque chose de complètement,0,0,,447,
1406,L3,et c’est local,Préc,0,,448,
1407,L4,oui c’est pas pour acheter quelque chose c’est juste pour le partage en fait ?,Q,0,,449,
1408,L1,en fait je repensais aux truc c’était les mayas leur monnaie c’était le cacao ils s’échangeaient tout voilà leur monnaie c’était le cacao c’était quelque chose de périssable tu pouvais pas le stocker en fait donc en fait et c’est ça aussi qui ressert cette culture de l’individualisme et du fait que t’ai envie de ta voiture et pas celle des autres c’est parce que tu peux aussi banquer quoi tu vois,Arg+,VA,économique,,
1409,L4,d’accord,0,0,,451,
1410,L1,et la question c’est juste si y’a une monnaie périssable  bah à partir de là sur ce système de monnaie périssable,Préc,0,,452,
1411,L2,nan mais ça empêche l’épargne après,Arg-,VA,économique,,
1412,L3,ouais c’est ça,0,0,,454,
1413,L1,ah oui mais justement c’est ça l’épargne c’est de la merde quoi,Arg+,VA,économique,,
1414,L2,bah l’épargne c’est important  bah l’épargne c’est de la merde c’est l’héritage de tes enfants,Arg-,VA,économique,,
1415,L4,mais est-ce que avec la monnaie périssable tu peux acheter de la bouffe par exemple ?,Q,0,,457,
1416,L3,justement tout le monde est sur un plan d’égalité,Arg+,VA,équité,,
1417,L1,nan mais justement si tu leur donne un héritage culturel qui le leur fait mieux vivre  avoir de l’argent ils s’en foutent quoi tu vois,Arg+,VA,économique,,
1418,L3,qu’est-ce qui y’a,0,0,,460,
1419,L4,est ce que tu peux acheter de la bouffe avec la monnaie périssable ?,Q,0,,461,
1420,L2,pas sûr ((répond à L1)),[-],0,,462,
1421,L3,nan je enfin ((répond à L4)) moi j’aurai dit que c’est un échange c’est un truc juste quand tu prêtes comme moyen de solidarité on pourrait lui trouver un nom un truc solidarité,Préc,VA,,463,
1422,L1,mais ça dépend quel rapport t’as avec  l’argent l’épargne et effectivement dans notre société actuelle c’est mieux d’avoir une épargne je suis d’accord y’aura peut-être des parce qu’on n’est pas dans un système collaboratif tu vois ((répond à L2)),Préc,VA,,464,
1423,L4,voilà pas pour acheter quelque chose ((répond à L3)),[+],0,,465,
1424,L3,ouais c’est bien,0,0,,466,
1425,L4,ok,0,0,,467,
1426,L2,ouais mais tu peux avoir envie de léguer  c’est toujours mieux d’avoir plus que moins quel que soit la monnaie même si elle est périssable est-ce qu’à l’instant t où elle est pas périmée vaut mieux en avoir plus qu’en avoir moins quel que soit la monnaie,Arg-,VA,économique,,
1427,L1,ouais mais ça je suis complètement d’accord mais ce que je veux dire c’est que dans un système un peu fantasmé collaboratif avoir de l’argent enfin si t’essayes de minimiser la  genre le bien le bien personnel tu pourras le mais ça te servira pas à grand-chose quoi,Arg+,VA,économique,,
1428,L2,oui si y’a pas d’argent ça sert à rien quoi enfin l’héritage,[+],0,,470,
1429,L3,ouais,[+],0,,471,
1430,L1,après on n’est pas,0,0,,472,
1431,L4,après on revient sur les lieux collaboratifs,0,0,,473,
1432,L3,ouais les lieux collaboratifs qu’est ce qu’on avait dit donc laverie ,P28,0,,0474a,
1433,L3,vous aviez dit bibliothèque ,P41,0,,0474b,
1434,L4,bah c’est cafète aussi,P42,0,,475,
1435,L2,ouais bibliothèque médiathèque,Préc,0,,476,
1436,L1,tous les lieux publics quoi tu vois,P43,0,,477,
1437,L2,ouais voilà,[+],0,,478,
1438,L3,ouais,[+],0,,479,
1439,L1,tous les lieux publics  et après tu peux aussi dire  que,0,0,,480,
1440,L2,je pensais à des supermarchés collaboratifs quoi comme enfin ça existe un peu déjà,P44,0,,481,
1441,L4,c’est tout il a raison sauf le logement ton propre logement,P45,0,,482,
1442,L1,bah ouais et même voilà ton lieu privatif tu peux le mettre à disposition de la communauté tu peux faire des propositions et tout si par exemple t’es très riche et que t’as une grande maison et que,Arg-,VA,liberté,,
1443,L3,ouais,[+],0,,484,
1444,L1,et que y’a un orage qui s’est abattu sur la MJC bah tu t’as qu’a les accueillir chez toi,Préc,0,,485,
1445,L4,ouais,[+],0,,486,
1446,L4,comment seraient les habitations ((lit)) ?,Q,0,,488,
1447,L2,moi je pensais à des habitats souterrains et sous-marins,P46,0,,489,
1448,L4,sous-marins souterrains ?,Q,0,,490,
1449,L2,ouais une ville sous-marine,Préc,0,,491,
1450,L4,ouais,0,0,,492,
1451,L2,comme ça ça évite,0,0,,493,
1452,L3,après en termes de consommation d’énergie ça va être terrible ((rires)),Arg-,VA,écologique,,
1453,L2,bah nan parce qu’on aura trouvé un moyen d’ici là soyons positifs  et ça éviterai de gaspiller le comment dire le fait qu’il y ait plus de place forcément construire des immeubles un peu dégueu partout tu fais des trucs sous-marins,Arg+,VA,écologique,,
1454,L3,sous-marins on bousille déjà tout ((rires)),Arg-,VA,écologique,,
1455,L2,ouais mais tu vois un truc,0,0,,497,
1456,L4,nan c’est c’est par exemple faut pas penser à c’est faisable ou pas en fait,Arg+,FAI,faisabilité,,
1457,L2,ouais tu pars dans un,0,0,,499,
1458,L3,c’est pas une question de faisable c’est une question aussi  d’atteinte à l’environnement moi je pense,Arg-,VA,écologique,,
1459,L1,moi je trouve que cette question elle est très très large alors ,Préc,0,,0501a,
1460,L1,moi j’avais juste pensé à  ce qu’il faisait c’était assez sympa tu sais y’a ces maisons qui tournaient en fonction du soleil,P47,0,,0501b,
1461,L3,ouais,[+],0,,502,
1462,L1,pour pouvoir prendre la lumière et tu fais la même chose enfin les tu fais comme le tournesol en fait avec des panneaux photovoltaïques par exemple,Arg+,FAI,efficacité,,
1463,L4,ça existe déjà ça ?,Q,0,,507,
1464,L1,ouais ouais c’est  donc tu vois c’est comme fonctionne les tournesols qui se tournent en fonction du soleil en fait là t’es tu maximises ton apport énergétique sur des panneaux photovoltaïques après faut aussi dire que t’as du photovoltaïque,Arg+,FAI,efficacité,,
1465,L4,oui,[+],0,,509,
1466,L3,mais faut que ouais que l’énergie de tourner soit,0,0,,510,
1467,L1,ouais,0,0,,511,
1468,L3,elle soit plus forte enfin plus faible que ce que ça te,Préc,0,,512,
1469,L1,ouais mais en fait le truc c’est que quand ton soleil il va être derrière ton panneau photovoltaïque genre il te balancera,Préc,0,,513,
1470,L2,nan mais après on n’est pas des ingénieurs enfin moi je suis pas ingénieur tout ça on va pas forcément calculer à chaque fois si  le rapport énergétique parce qu’on peut pas le calculer,Arg+,FAI,efficacité,,
1471,L3,bah nan mais si c’est clair que c’est une perte ça sert à rien quoi enfin,Arg-,VA,écologique,,
1472,L4,nan mais si ça bouge un tout petit peu c’est rien du tout,Arg+,VA,écologique,,
1473,L2,oui nan mais ce que je veux dire ce je veux dire c’est qu’on sous-entend que si on propose on sous-entend que c’est avantageux de ce point de vue là,Arg+,FAI,efficacité,,
1474,L3,ouais ouais nan mais si t’as vu que c’était faisable et tout ,[+],0,,518,
1475,L1,ah ouais c’est faisable et d’un point de vue énergétique je pense que c’est rentable après ça dépend la taille de ton panneau et le système que t’emploies pour le faire tourner et son poids et t’as plein de facteurs qu’on va pas faire maintenant tu vois à étudier mais en soit je pense que c’est idée quoi,Arg+,FAI,efficacité,,
1476,L3,et plutôt du coup des appartements que,P48,0,,531,
1477,L4,bah ça peut être de tout en fait,P49,0,,532,
1478,L1,si tu,0,0,,533,
1479,L3,parce que les appartements ça permet de,0,0,,534,
1480,L2,bah le problème c’est que la plupart de la population elle est urbaine donc  faut bien penser à des trucs,0,0,,535,
1481,L3,ouais c’est ça,0,0,,536,
1482,L2,y’a pas la place pour caser tout le monde quoi pour tel qu’on est déjà dans des dans des maisons bien espacées,P50,0,,537,
1483,L3,ouais ouais c’est plutôt c’est plutôt en termes d’imperméabilisation des sols et de consommation d’énergie aussi dans les deux cas c’est vertical en étant,Arg+,VA,écologique,,
1484,L2,mais bon,0,0,,539,
1485,L4,ça peut être de tout des immeubles des maisons,Préc,0,,540,
1486,L2,ouais,[+],0,,541,
1487,L1,après dans un rapport de diffusion du coup c’est plus facile de s’ordonner dans un immeuble parce que t’es beaucoup plus resserré quoi,Arg+,VA,écologique,,
1488,L1,après le problème des habitations c’est que ça prend énormément de facteurs il faut je pense que c’est pas forcément sur chose sur laquelle on va s’attarder c’est quelque chose de,Préc,0,,544,
1489,L2,nan mais on va pas oui sur la faisabilité de vraiment chaque fois sinon,0,0,,545,
1490,L1,"parce qu’en soit c’est est-ce qu’on voit l’habitation vis-à-vis d’un rapport énergétique, vis-à-vis d’un rapport social, vis-à-vis d’un rapport collaboratif donc au final ou esthétique ça à l’air de te tenir à cœur",Préc,0,,546,
1491,L2,esthétique,[+],0,,547,
1492,L3,ouais,0,0,,548,
1493,L2,ah bah oui moi je veux pas habiter dans un truc moche y’en a déjà trop partout,Préc,0,,549,
1494,L3,nan c’est vrai mais en même temps c’est quand même une question centrale de comment on visualise dans la tête notre quartier,Préc,0,,550,
1495,L1,ouais  oui à ce moment-là on retombe plus sur un truc oui moi je veux que mon quartier soit beau quoi mais je sais pas ?,Q,0,,551,
1496,L2,mais après c’est pas forcément les habitations dans leurs termes  les bâtiments eux-mêmes mais aussi l’organisation spatial ou géographique,Préc,0,,552,
1497,L3,((acquiescements)),[+],0,,553,
1498,L1,nan mais à ce moment là,0,0,,554,
1499,L2,admettons est-ce que tu mets un lieu au centre genre un grand parc,P51,0,,555,
1500,L1,t’es à ce moment-là dans le ouais dans la répartition de l’espace,[+],0,,556,
1501,L3,moi j’avais mis un grand parc où tu pourrais avoir des potagers des poulaillers machin,P52,0,,557,
1502,L1,mais à ce moment là,0,0,,558,
1503,L3,des trucs où c’est aussi des espaces communs,Préc,0,,559,
1504,L1,on considère le parc comme un espace public donc comme un espace collaboratif comme on l’a dit juste avant donc à ce moment-là on a qu’à dire que dans la répartition de l’espace c’est les bâtiments enfin les ouais enfin on centralise en fait,P53,0,,560,
1505,L3,sont au centre ouais,[+],0,,561,
1506,L1,pour que tout le monde soit justement sur un pied d- y’a pas de hiérarchisation par la distance y’a rien tu vois  on est tous on essaye de mettre une équidistance entre toutes les habitations et les points  publics donc d’espaces collaboratifs,Arg+,VA,équité,,
1507,L3,ouais,[+],0,,563,
1508,L2,ouais tu fais un truc en étoile,Préc,0,,564,
1509,L1,ouais exactement,[+],0,,565,
1510,L2,mais ,0,0,,566,
1511,L1,et tu fais ça à ce moment là,0,0,,567,
1512,L3,du coup avec des zones d’habitation condensées et puis autour les les parcs les zones,Préc,0,,568,
1513,L2,bah justement essayer de trouver un bon rapport entre les deux  un truc ouais pour que ce soit un peu condensé mais pas boite de sardines quoi et du coup essayer d’optimiser l’espace comme ça,Préc,FAI,,569,
1514,L4,juste mettre les lieux communs au centre plutôt,Préc,0,,570,
1515,L2,bah équidistant t’as pas forcément un gros centre t’as des mini centres,Préc,0,,571,
1516,L4,oui on ira dans le quartier,0,0,,572,
1517,L1,mais en fait tu fonctionnes par bulles sur un système d’étoile comme ça ((dessine)) tu vois imagine que à chaque fois-là tu vois tes ronds c’est tes agglomérations ton enchainement d’agglo-mérations au milieu t’as ton point  collectif tu vois publics,Préc,0,,573,
1518,L4,ouais ouais,[+],0,,574,
1519,L1,et justement avec toutes ces agglomérations,0,0,,575,
1520,L3,et au milieu t’as,0,0,,576,
1521,L1,t’imagine ça c’est des petits parcs et au milieu t’as ton gros point collaboratif tu vois  par exemple,Préc,0,,577,
1522,L3,les immeubles c’est quoi c’est les points là ou c’est ?,Q,0,,578,
1523,L1,en fait c’est pour dire juste qu’on fonctionne par strates en fait,Préc,0,,579,
1524,L2,tu fais un truc comme ça en fait ((dessine)),0,0,,580,
1525,L3,ouais ouais mais les habitations du coup c’est plutôt au centre ou les trucs ?,Q,0,,581,
1526,L1,bah t’imagine que ça c’est tes habitations que ça c’est un point collectif pour cette agglomération là mais par exemple que si tu veux un,Préc,0,,582,
1527,L3,genre la bibliothèque elle peut être commune à plusieurs alors que la laverie elle sera dans l’immeuble,Préc,0,,583,
1528,L1,voilà imagine ça c’est ton épicerie ça c’est ton groupement de population et ça c’est ta bibliothèque et tu gardes toujours cette même équidistance partout tu vois,Préc,0,,584,
1529,L4,ouais ouais,[+],0,,585,
1530,L2,ouais voilà,[+],0,,586,
1531,L4,consensus,0,0,,600,
1532,L2,moi j’avais mis deux trucs c’est alors déjà possibilité de s’abstenir très important  ,P54,0,,0601a,
1533,L2,et qu’il y ait certains sujets qui échappent à cette forme de prise de décisions quoi,P55,0,,0601b,
1534,L4,ouais si tu t’abstiens ça fait quoi en fait ?,Q,0,,602,
1535,L1,mais on est que sur des sujets,0,0,,603,
1536,L2,tu t’abstiens tu fais je m’en fous faites ce que vous voulez quoi,Préc,0,,604,
1537,L4,d’accord,[+],0,,605,
1538,L1,"d’accord mais qu’est-ce que t’entends par certains sujets qui doivent être bannis de cette, parce qu’on est que sur c’est ça ne comprend que le consensus ne comprend que les sujets relatifs à la vie en communauté ?",Q,0,,606,
1539,L2,oui nan mais ça j’avais compris,0,0,,607,
1540,L1,donc tu penses que y’a une prise de décision pour la communauté qui doit se faire sans la communauté ?,Q,0,,608,
1541,L2,nan mais je veux dire une forme de vote classique ce qui est pas le cas ici,Préc,0,,609,
1542,L1,tu veux dire un cas exceptionnel on vote,Préc,0,,610,
1543,L2,oui voilà oui,[+],0,,611,
1544,L1,ok ça peut être intéressant,[+],0,,612,
1545,L3,moi j’étais ouais j’ai réfléchis un peu mais le vote je me dis au final c’est un peu facile si tu dis en dernier recours tu votes bah ça fait que tu vas jamais faire l’effort de,Arg-,VA,engagement,,
1546,L1,tu seras toujours dans le dernier recours ouais,[+],0,,614,
1547,L2,ouais c’est pour ça que,0,0,,615,
1548,L3,et du coup je me suis dis que peut-être en dernière recours peut être que ça marchera pas mais,Préc,0,,616,
1549,L1,moi j’ai marqué nombre d’oppositions formelles différentes enfin t’as un nombre limité de de d’oppositions formelles parce que y’a un,P56,0,,617,
1550,L3,que tu peux faire,0,0,,618,
1551,L1,ouais,0,0,,619,
1552,L3,ouais c’est,0,0,,620,
